date,close,volume,open,high,low
11/12/13,74.2871,51067815,73.9528,74.8457,73.8571
11/11/13,74.1497,56747589,74.2843,74.5243,73.4871
11/8/13,74.3657,69617240,73.5114,74.4471,73.2271
11/7/13,73.2131,65542966,74.2257,74.7414,73.1971
11/6/13,74.4171,55716622,74.8785,74.98,74.0285
11/5/13,75.0641,66243519,74.94,75.555,74.7143
11/4/13,75.25,61011871,74.4428,75.26,74.1157
11/1/13,74.29,68524519,74.86,74.9714,73.6914
10/31/13,74.6717,68774804,75,75.3557,74.4671
10/30/13,74.9851,88125406,74.23,75.36,73.86
10/29/13,73.8111,158499648,76.61,77.0357,73.5057
10/28/13,75.6965,124205797,75.5771,75.8571,74.7443
10/25/13,75.1368,84316215,75.9021,76.1757,75.0157
10/24/13,75.9871,96004539,75,76.0671,74.6357
10/23/13,74.9943,78237833,74.1428,75.0957,74.1428
10/22/13,74.2668,133200030,75.2007,75.4928,72.5757
10/21/13,74.4803,98700380,73.11,74.9,73.0743
10/18/13,72.6985,72195292,72.2843,72.7514,72.2443
10/17/13,72.0714,63116954,71.4257,72.1114,71.3828
10/16/13,71.5877,62449609,71.5414,71.79,71.3186
10/15/13,71.24,79715744,71.0721,71.7143,70.7886
10/14/13,70.8628,65216780,69.9757,71.0828,69.9071
10/11/13,70.4017,66797100,69.57,70.5486,69.3086
10/10/13,69.9483,69186523,70.1886,70.34,69.5771
10/9/13,69.5126,75304273,69.2343,69.6843,68.3257
10/8/13,68.7057,72260532,69.9914,70.0914,68.6486
10/7/13,69.6786,77889233,69.5086,70.3786,69.3357
10/4/13,69.0043,64638089,69.1228,69.2286,68.3714
10/3/13,69.0586,78802384,70.0728,70.3357,68.6769
10/2/13,69.9371,71799162,69.3757,70.2571,69.1071
10/1/13,69.7086,88194286,68.35,69.8771,68.3401
9/30/13,68.1071,64764985,68.1786,68.8086,67.773
9/27/13,68.9643,56787853,69.1114,69.2386,68.6743
9/26/13,69.46,59050786,69.4286,69.7943,69.1286
9/25/13,68.79,79011544,69.8857,69.9486,68.7757
9/24/13,69.8714,90481397,70.6971,70.7814,69.6886
9/23/13,70.0914,189942957,70.8714,70.9871,68.9428
9/20/13,66.7728,174425492,68.2857,68.3643,66.5714
9/19/13,67.4714,100811930,67.2428,67.9757,67.0357
9/18/13,66.3828,113636704,66.1686,66.6214,65.8086
9/17/13,65.0457,99704600,63.9943,65.6728,63.9286
9/16/13,64.3028,136563951,65.8571,65.9443,63.8886
9/13/13,66.4143,74495492,67.0486,67.4042,66.3857
9/12/13,67.5271,100856800,66.9286,67.9143,66.5728
9/11/13,66.8157,224172687,66.7157,67.67,66.4014
9/10/13,70.6628,185372026,72.3143,72.4928,69.9286
9/9/13,72.31,84479315,72.1428,72.56,71.9257
9/6/13,71.1743,89482147,71.2057,71.34,69.9928
9/5/13,70.7528,58779242,71.4643,71.5257,70.52
9/4/13,71.2416,86016026,71.3657,71.7485,70.8971
9/3/13,69.7971,82966965,70.4428,71.5143,69.6214
8/30/13,69.6023,68053649,70.2857,70.4214,69.5
8/29/13,70.2428,59804259,70.2357,70.9286,70.1614
8/28/13,70.128,76746763,69.4286,70.8286,69.4286
8/27/13,69.7986,105846822,71.1428,71.7871,69.4714
8/26/13,71.8528,82354395,71.5357,72.8857,71.5
8/23/13,71.5743,55559766,71.8957,71.9071,71.3357
8/22/13,71.8514,60866474,72.14,72.2271,71.1714
8/21/13,71.7657,83783025,71.9414,72.45,71.6
8/20/13,71.5814,89508677,72.8157,72.9385,71.5457
8/19/13,72.5343,127401718,72.0485,73.3914,72
8/16/13,71.7614,90314517,71.45,71.8485,71.2657
8/15/13,71.13,122386917,70.9171,71.7713,69.869
8/14/13,71.2143,188427037,71.1257,72.0357,70.4857
8/13/13,69.9386,219450906,67.2771,70.6657,66.8643
8/12/13,66.7657,90984207,65.2657,66.95,65.2328
8/9/13,64.9214,66643940,65.52,65.78,64.8071
8/8/13,65.8586,63939790,66.265,66.3,65.4214
8/7/13,66.4257,74622262,66.2571,66.7143,65.9671
8/6/13,66.4643,83703085,66.86,67.4128,66.0243
8/5/13,67.0643,79577704,66.3843,67.2386,66.0214
8/2/13,66.0771,68411287,65.43,66.1214,65.2371
8/1/13,65.2394,51386070,65.1076,65.2571,64.7514
7/31/13,64.6471,80624904,64.9986,65.3346,64.2043
7/30/13,64.76,77240193,64.28,65.3071,64.1757
7/29/13,63.97,62006404,62.9714,64.2843,62.8857
7/26/13,62.9986,50020601,62.1857,63.0057,62.0486
7/25/13,62.6428,57358143,62.9571,63.0571,62.2586
7/24/13,62.93,147906334,62.7043,63.5128,62.18
7/23/13,59.8557,88619467,60.8571,60.9943,59.8157
